"SAN.MC,19/06/2012 17:36:00,"4,829"
"SAN.MC,20/06/2012 17:36:00,"4,961"
"SAN.MC,21/06/2012 17:36:00,"4,963"
"SAN.MC,22/06/2012 17:36:00,"5,016"
"SAN.MC,25/06/2012 17:36:00,"4,78"
"SAN.MC,26/06/2012 17:36:00,"4,71"
"SAN.MC,27/06/2012 17:36:00,"4,849"
"SAN.MC,28/06/2012 17:36:00,"4,885"
"SAN.MC,29/06/2012 17:36:00,"5,221"
"SAN.MC,2/07/2012 17:36:00,"5,25"
"SAN.MC,3/07/2012 17:36:00,"5,32"
"SAN.MC,4/07/2012 17:36:00,"5,305"
"SAN.MC,5/07/2012 17:36:00,"5,096"
"SAN.MC,6/07/2012 17:36:00,"4,899"
"SAN.MC,9/07/2012 17:36:00,"4,816"
"SAN.MC,10/07/2012 17:36:00,"4,793"
"SAN.MC,11/07/2012 17:36:00,"4,876"
"SAN.MC,12/07/2012 17:36:00,"4,78"
"SAN.MC,13/07/2012 17:36:00,"4,664"
"SAN.MC,16/07/2012 17:36:00,"4,509"
"SAN.MC,17/07/2012 17:36:00,"4,515"
"SAN.MC,18/07/2012 17:36:00,"4,516"
"SAN.MC,19/07/2012 17:36:00,"4,521"
"SAN.MC,20/07/2012 17:36:00,"4,19"
"SAN.MC,23/07/2012 17:36:00,"4,23"
"SAN.MC,24/07/2012 17:36:00,"4,038"
"SAN.MC,25/07/2012 17:36:00,"4,075"
"SAN.MC,26/07/2012 17:36:00,"4,51"
"SAN.MC,27/07/2012 17:36:00,"4,78"
"SAN.MC,30/07/2012 17:36:00,"4,974"
"SAN.MC,31/07/2012 17:36:00,"4,95"
"SAN.MC,1/08/2012 17:36:00,"4,962"
"SAN.MC,2/08/2012 17:36:00,"4,63"
"SAN.MC,3/08/2012 17:36:00,"4,99"
"SAN.MC,6/08/2012 17:36:00,"5,19"
"SAN.MC,7/08/2012 17:36:00,"5,35"
"SAN.MC,8/08/2012 17:36:00,"5,343"
"SAN.MC,9/08/2012 17:36:00,"5,309"
"SAN.MC,10/08/2012 17:36:00,"5,29"
"SAN.MC,13/08/2012 17:36:00,"5,332"
"SAN.MC,14/08/2012 17:36:00,"5,39"
"SAN.MC,15/08/2012 17:36:00,"5,397"
"SAN.MC,16/08/2012 17:36:00,"5,61"
"SAN.MC,17/08/2012 17:36:00,"5,719"
"SAN.MC,20/08/2012 17:36:00,"5,64"
"SAN.MC,21/08/2012 17:36:00,"5,71"
"SAN.MC,22/08/2012 17:36:00,"5,551"
"SAN.MC,23/08/2012 17:36:00,"5,592"
"SAN.MC,24/08/2012 17:36:00,"5,556"
"SAN.MC,27/08/2012 17:36:00,"5,615"
"SAN.MC,28/08/2012 17:36:00,"5,57"
"SAN.MC,29/08/2012 17:36:00,"5,485"
"SAN.MC,30/08/2012 17:36:00,"5,348"
"SAN.MC,31/08/2012 17:36:00,"5,67"
"SAN.MC,3/09/2012 17:36:00,"5,679"
"SAN.MC,4/09/2012 17:36:00,"5,7"
"SAN.MC,5/09/2012 17:36:00,"5,718"
"SAN.MC,6/09/2012 17:36:00,"5,981"
"SAN.MC,7/09/2012 17:36:00,"6,083"
"SAN.MC,10/09/2012 17:36:00,"6,069"
"SAN.MC,11/09/2012 17:36:00,"6,175"
"SAN.MC,12/09/2012 17:36:00,"6,254"
"SAN.MC,13/09/2012 17:36:00,"6,139"
"SAN.MC,14/09/2012 17:36:00,"6,29"
"SAN.MC,17/09/2012 17:36:00,"6,24"
"SAN.MC,18/09/2012 17:36:00,"6,1"
"SAN.MC,19/09/2012 17:36:00,"6,11"
"SAN.MC,20/09/2012 17:36:00,"6,036"
"SAN.MC,21/09/2012 17:36:00,"6,25"
"SAN.MC,24/09/2012 17:36:00,"6,17"
"SAN.MC,25/09/2012 17:36:00,"6,204"
"SAN.MC,26/09/2012 17:36:00,"5,924"
"SAN.MC,27/09/2012 17:36:00,"5,921"
"SAN.MC,28/09/2012 17:36:00,"5,795"
"SAN.MC,1/10/2012 17:36:00,"5,876"
"SAN.MC,2/10/2012 17:36:00,"5,942"
"SAN.MC,3/10/2012 17:36:00,"5,87"
"SAN.MC,4/10/2012 17:36:00,"5,867"
"SAN.MC,5/10/2012 17:36:00,"6,06"
"SAN.MC,8/10/2012 17:36:00,"5,985"
"SAN.MC,9/10/2012 17:36:00,"5,837"
"SAN.MC,10/10/2012 17:36:00,"5,734"
"SAN.MC,11/10/2012 17:36:00,"5,845"
"SAN.MC,12/10/2012 17:36:00,"5,74"
"SAN.MC,15/10/2012 17:36:00,"5,809"
"SAN.MC,16/10/2012 17:36:00,"6,06"
"SAN.MC,17/10/2012 17:36:00,"6,129"
"SAN.MC,18/10/2012 17:36:00,"6,031"
"SAN.MC,19/10/2012 17:36:00,"5,85"
"SAN.MC,22/10/2012 17:36:00,"5,79"
"SAN.MC,23/10/2012 17:36:00,"5,733"
"SAN.MC,24/10/2012 17:36:00,"5,779"
"SAN.MC,25/10/2012 17:36:00,"5,745"
"SAN.MC,26/10/2012 17:36:00,"5,72"
"SAN.MC,29/10/2012 17:36:00,"5,645"
"SAN.MC,30/10/2012 17:36:00,"5,769"
"SAN.MC,31/10/2012 17:36:00,"5,789"
"SAN.MC,1/11/2012 17:36:00,"5,813"
"SAN.MC,2/11/2012 17:36:00,"5,854"
"SAN.MC,5/11/2012 17:36:00,"5,71"
"SAN.MC,6/11/2012 17:36:00,"5,723"
"SAN.MC,7/11/2012 17:36:00,"5,52"
"SAN.MC,8/11/2012 17:36:00,"5,523"
"SAN.MC,9/11/2012 17:36:00,"5,5"
"SAN.MC,12/11/2012 17:36:00,"5,433"
"SAN.MC,13/11/2012 17:36:00,"5,628"
"SAN.MC,14/11/2012 17:36:00,"5,59"
"SAN.MC,15/11/2012 17:36:00,"5,617"
"SAN.MC,16/11/2012 17:36:00,"5,482"
"SAN.MC,19/11/2012 17:36:00,"5,656"
"SAN.MC,20/11/2012 17:36:00,"5,67"
"SAN.MC,21/11/2012 17:36:00,"5,71"
"SAN.MC,22/11/2012 17:36:00,"5,772"
"SAN.MC,23/11/2012 17:36:00,"5,81"
"SAN.MC,26/11/2012 17:36:00,"5,777"
"SAN.MC,27/11/2012 17:36:00,"5,773"
"SAN.MC,28/11/2012 17:36:00,"5,757"
"SAN.MC,29/11/2012 17:36:00,"5,894"
"SAN.MC,30/11/2012 17:36:00,"5,914"
"SAN.MC,3/12/2012 17:36:00,"5,898"
"SAN.MC,4/12/2012 17:36:00,"5,927"
"SAN.MC,5/12/2012 17:36:00,"5,878"
"SAN.MC,6/12/2012 17:36:00,"5,9"
"SAN.MC,7/12/2012 17:36:00,"5,848"
"SAN.MC,10/12/2012 17:36:00,"5,746"
"SAN.MC,11/12/2012 17:36:00,"5,802"
"SAN.MC,12/12/2012 17:36:00,"5,86"
"SAN.MC,13/12/2012 17:36:00,"5,9"
"SAN.MC,14/12/2012 17:36:00,"5,9"
"SAN.MC,17/12/2012 17:36:00,"5,83"
"SAN.MC,18/12/2012 17:36:00,"5,958"
"SAN.MC,19/12/2012 17:36:00,"6,01"
"SAN.MC,20/12/2012 17:36:00,"6,035"
"SAN.MC,21/12/2012 17:36:00,"6,11"
"SAN.MC,24/12/2012 14:00:00,"6,09"
"SAN.MC,27/12/2012 17:36:00,"6,097"
"SAN.MC,28/12/2012 17:36:00,"6,008"
"SAN.MC,31/12/2012 14:00:00,"6,1"
"SAN.MC,2/01/2013 17:36:00,"6,329"
"SAN.MC,3/01/2013 17:36:00,"6,307"
"SAN.MC,4/01/2013 17:36:00,"6,33"
"SAN.MC,7/01/2013 17:36:00,"6,322"
"SAN.MC,8/01/2013 17:36:00,"6,34"
"SAN.MC,9/01/2013 17:36:00,"6,401"
"SAN.MC,10/01/2013 17:36:00,"6,482"
"SAN.MC,11/01/2013 17:36:00,"6,591"
"SAN.MC,14/01/2013 17:36:00,"6,62"
"SAN.MC,15/01/2013 17:36:00,"6,431"
"SAN.MC,16/01/2013 17:36:00,"6,433"
"SAN.MC,17/01/2013 17:36:00,"6,45"
"SAN.MC,18/01/2013 17:36:00,"6,441"
"SAN.MC,21/01/2013 17:36:00,"6,459"
"SAN.MC,22/01/2013 17:36:00,"6,432"
"SAN.MC,23/01/2013 17:36:00,"6,43"
"SAN.MC,24/01/2013 17:36:00,"6,489"
"SAN.MC,25/01/2013 17:36:00,"6,539"
"SAN.MC,28/01/2013 17:36:00,"6,513"
