"MAP.MC,29/05/2012 17:36:00,"1,71"
"MAP.MC,30/05/2012 17:36:00,"1,62"
"MAP.MC,31/05/2012 17:36:00,"1,566"
"MAP.MC,1/06/2012 17:36:00,"1,543"
"MAP.MC,4/06/2012 17:36:00,"1,581"
"MAP.MC,5/06/2012 17:36:00,"1,562"
"MAP.MC,6/06/2012 17:36:00,"1,583"
"MAP.MC,7/06/2012 17:36:00,"1,601"
"MAP.MC,8/06/2012 17:36:00,"1,606"
"MAP.MC,11/06/2012 17:36:00,"1,655"
"MAP.MC,12/06/2012 17:36:00,"1,615"
"MAP.MC,13/06/2012 17:36:00,"1,633"
"MAP.MC,14/06/2012 17:36:00,"1,617"
"MAP.MC,15/06/2012 17:36:00,"1,663"
"MAP.MC,18/06/2012 17:36:00,"1,647"
"MAP.MC,19/06/2012 17:36:00,"1,592"
"MAP.MC,20/06/2012 17:36:00,"1,635"
"MAP.MC,21/06/2012 17:36:00,"1,659"
"MAP.MC,22/06/2012 17:36:00,"1,69"
"MAP.MC,25/06/2012 17:36:00,"1,582"
"MAP.MC,26/06/2012 17:36:00,"1,538"
"MAP.MC,27/06/2012 17:36:00,"1,537"
"MAP.MC,28/06/2012 17:36:00,"1,523"
"MAP.MC,29/06/2012 17:36:00,"1,603"
"MAP.MC,2/07/2012 17:36:00,"1,602"
"MAP.MC,3/07/2012 17:36:00,"1,618"
"MAP.MC,4/07/2012 17:36:00,"1,631"
"MAP.MC,5/07/2012 17:36:00,"1,639"
"MAP.MC,6/07/2012 17:36:00,"1,568"
"MAP.MC,9/07/2012 17:36:00,"1,547"
"MAP.MC,10/07/2012 17:36:00,"1,582"
"MAP.MC,11/07/2012 17:36:00,"1,57"
"MAP.MC,12/07/2012 17:36:00,"1,518"
"MAP.MC,13/07/2012 17:36:00,"1,534"
"MAP.MC,16/07/2012 17:36:00,"1,51"
"MAP.MC,17/07/2012 17:36:00,"1,514"
"MAP.MC,18/07/2012 17:36:00,"1,522"
"MAP.MC,19/07/2012 17:36:00,"1,557"
"MAP.MC,20/07/2012 17:36:00,"1,509"
"MAP.MC,23/07/2012 17:36:00,"1,472"
"MAP.MC,24/07/2012 17:36:00,"1,35"
"MAP.MC,25/07/2012 17:36:00,"1,323"
"MAP.MC,26/07/2012 17:36:00,"1,51"
"MAP.MC,27/07/2012 17:36:00,"1,53"
"MAP.MC,30/07/2012 17:36:00,"1,521"
"MAP.MC,31/07/2012 17:36:00,"1,483"
"MAP.MC,1/08/2012 17:36:00,"1,49"
"MAP.MC,2/08/2012 17:36:00,"1,429"
"MAP.MC,3/08/2012 17:36:00,"1,53"
"MAP.MC,6/08/2012 17:36:00,"1,655"
"MAP.MC,7/08/2012 17:36:00,"1,799"
"MAP.MC,8/08/2012 17:36:00,"1,765"
"MAP.MC,9/08/2012 17:36:00,"1,825"
"MAP.MC,10/08/2012 17:36:00,"1,8"
"MAP.MC,13/08/2012 17:36:00,"1,802"
"MAP.MC,14/08/2012 17:36:00,"1,83"
"MAP.MC,15/08/2012 17:36:00,"1,812"
"MAP.MC,16/08/2012 17:36:00,"1,989"
"MAP.MC,17/08/2012 17:36:00,"2,019"
"MAP.MC,20/08/2012 17:36:00,"2,033"
"MAP.MC,21/08/2012 17:36:00,"1,992"
"MAP.MC,22/08/2012 17:36:00,"1,956"
"MAP.MC,23/08/2012 17:36:00,"1,916"
"MAP.MC,24/08/2012 17:36:00,"1,907"
"MAP.MC,27/08/2012 17:36:00,"1,97"
"MAP.MC,28/08/2012 17:36:00,"1,92"
"MAP.MC,29/08/2012 17:36:00,"1,922"
"MAP.MC,30/08/2012 17:36:00,"1,882"
"MAP.MC,31/08/2012 17:36:00,"1,93"
"MAP.MC,3/09/2012 17:36:00,"1,923"
"MAP.MC,4/09/2012 17:36:00,"1,986"
"MAP.MC,5/09/2012 17:36:00,"1,975"
"MAP.MC,6/09/2012 17:36:00,"2,18"
"MAP.MC,7/09/2012 17:36:00,"2,16"
"MAP.MC,10/09/2012 17:36:00,"2,192"
"MAP.MC,11/09/2012 17:36:00,"2,24"
"MAP.MC,12/09/2012 17:36:00,"2,325"
"MAP.MC,13/09/2012 17:36:00,"2,246"
"MAP.MC,14/09/2012 17:36:00,"2,25"
"MAP.MC,17/09/2012 17:36:00,"2,198"
"MAP.MC,18/09/2012 17:36:00,"2,148"
"MAP.MC,19/09/2012 17:36:00,"2,108"
"MAP.MC,20/09/2012 17:36:00,"2,081"
"MAP.MC,21/09/2012 17:36:00,"2,152"
"MAP.MC,24/09/2012 17:36:00,"2,203"
"MAP.MC,25/09/2012 17:36:00,"2,186"
"MAP.MC,26/09/2012 17:36:00,"2,078"
"MAP.MC,27/09/2012 17:36:00,"2,131"
"MAP.MC,28/09/2012 17:36:00,"2,132"
"MAP.MC,1/10/2012 17:36:00,"2,202"
"MAP.MC,2/10/2012 17:36:00,"2,213"
"MAP.MC,3/10/2012 17:36:00,"2,177"
"MAP.MC,4/10/2012 17:36:00,"2,13"
"MAP.MC,5/10/2012 17:36:00,"2,162"
"MAP.MC,8/10/2012 17:36:00,"2,141"
"MAP.MC,9/10/2012 17:36:00,"2,087"
"MAP.MC,10/10/2012 17:36:00,"2,024"
"MAP.MC,11/10/2012 17:36:00,"2,074"
"MAP.MC,12/10/2012 17:36:00,"2,044"
"MAP.MC,15/10/2012 17:36:00,"2,02"
"MAP.MC,16/10/2012 17:36:00,"2,225"
"MAP.MC,17/10/2012 17:36:00,"2,246"
"MAP.MC,18/10/2012 17:36:00,"2,186"
"MAP.MC,19/10/2012 17:36:00,"2,173"
"MAP.MC,22/10/2012 17:36:00,"2,174"
"MAP.MC,23/10/2012 17:36:00,"2,096"
"MAP.MC,24/10/2012 17:36:00,"2,133"
"MAP.MC,25/10/2012 17:36:00,"2,165"
"MAP.MC,26/10/2012 17:36:00,"2,118"
"MAP.MC,29/10/2012 17:36:00,"2,101"
"MAP.MC,30/10/2012 17:36:00,"2,124"
"MAP.MC,31/10/2012 17:36:00,"2,138"
"MAP.MC,1/11/2012 17:36:00,"2,127"
"MAP.MC,2/11/2012 17:36:00,"2,117"
"MAP.MC,5/11/2012 17:36:00,"2,085"
"MAP.MC,6/11/2012 17:36:00,"2,047"
"MAP.MC,7/11/2012 17:36:00,"2,032"
"MAP.MC,8/11/2012 17:36:00,"2,082"
"MAP.MC,9/11/2012 17:36:00,"2,043"
"MAP.MC,12/11/2012 17:36:00,"2,009"
"MAP.MC,13/11/2012 17:36:00,"2,011"
"MAP.MC,14/11/2012 17:36:00,"2,011"
"MAP.MC,15/11/2012 17:36:00,"2,005"
"MAP.MC,16/11/2012 17:36:00,"1,992"
"MAP.MC,19/11/2012 17:36:00,"2,099"
"MAP.MC,20/11/2012 17:36:00,"2,081"
"MAP.MC,21/11/2012 17:36:00,"2,174"
"MAP.MC,22/11/2012 17:36:00,"2,16"
"MAP.MC,23/11/2012 17:36:00,"2,23"
"MAP.MC,26/11/2012 17:36:00,"2,21"
"MAP.MC,27/11/2012 17:36:00,"2,185"
"MAP.MC,28/11/2012 17:36:00,"2,104"
"MAP.MC,29/11/2012 17:36:00,"2,183"
"MAP.MC,30/11/2012 17:36:00,"2,162"
"MAP.MC,3/12/2012 17:36:00,"2,149"
"MAP.MC,4/12/2012 17:36:00,"2,153"
"MAP.MC,5/12/2012 17:36:00,"2,15"
"MAP.MC,6/12/2012 17:36:00,"2,122"
"MAP.MC,7/12/2012 17:36:00,"2,132"
"MAP.MC,10/12/2012 17:36:00,"2,144"
"MAP.MC,11/12/2012 17:36:00,"2,148"
"MAP.MC,12/12/2012 17:36:00,"2,247"
"MAP.MC,13/12/2012 17:36:00,"2,3"
"MAP.MC,14/12/2012 17:36:00,"2,269"
"MAP.MC,17/12/2012 17:36:00,"2,25"
"MAP.MC,18/12/2012 17:36:00,"2,308"
"MAP.MC,19/12/2012 17:36:00,"2,402"
"MAP.MC,20/12/2012 17:36:00,"2,373"
"MAP.MC,21/12/2012 17:36:00,"2,431"
"MAP.MC,24/12/2012 14:00:00,"2,395"
"MAP.MC,27/12/2012 17:36:00,"2,394"
"MAP.MC,28/12/2012 17:36:00,"2,38"
"MAP.MC,31/12/2012 14:00:00,"2,315"
"MAP.MC,2/01/2013 17:36:00,"2,499"
"MAP.MC,3/01/2013 17:36:00,"2,484"
"MAP.MC,4/01/2013 17:36:00,"2,487"
"MAP.MC,7/01/2013 17:36:00,"2,515"
"MAP.MC,8/01/2013 17:36:00,"2,502"
"MAP.MC,9/01/2013 17:36:00,"2,489"
"MAP.MC,10/01/2013 17:36:00,"2,561"
"MAP.MC,11/01/2013 17:36:00,"2,553"
"MAP.MC,14/01/2013 17:36:00,"2,52"
"MAP.MC,15/01/2013 17:36:00,"2,482"
"MAP.MC,16/01/2013 17:36:00,"2,406"
"MAP.MC,17/01/2013 17:36:00,"2,413"
"MAP.MC,18/01/2013 17:36:00,"2,39"
"MAP.MC,21/01/2013 17:36:00,"2,386"
"MAP.MC,22/01/2013 17:36:00,"2,362"
"MAP.MC,23/01/2013 17:36:00,"2,322"
"MAP.MC,24/01/2013 17:36:00,"2,37"
"MAP.MC,25/01/2013 17:36:00,"2,34"
"MAP.MC,28/01/2013 17:36:00,"2,326"
"MAP.MC,29/01/2013 17:36:00,"2,321"
"MAP.MC,30/01/2013 17:36:00,"2,32"
"MAP.MC,31/01/2013 17:36:00,"2,271"
"MAP.MC,1/02/2013 17:36:00,"2,29"
"MAP.MC,4/02/2013 17:36:00,"2,158"
"MAP.MC,5/02/2013 17:36:00,"2,223"
"MAP.MC,6/02/2013 17:36:00,"2,135"
"MAP.MC,7/02/2013 17:36:00,"2,195"
"MAP.MC,8/02/2013 17:36:00,"2,214"
"MAP.MC,11/02/2013 17:36:00,"2,203"
"MAP.MC,12/02/2013 17:36:00,"2,276"
"MAP.MC,13/02/2013 17:36:00,"2,394"
"MAP.MC,14/02/2013 17:36:00,"2,4"
"MAP.MC,15/02/2013 17:36:00,"2,355"
"MAP.MC,18/02/2013 17:36:00,"2,346"
"MAP.MC,19/02/2013 17:36:00,"2,426"
"MAP.MC,20/02/2013 17:36:00,"2,435"
"MAP.MC,21/02/2013 17:36:00,"2,434"
"MAP.MC,22/02/2013 17:36:00,"2,492"
"MAP.MC,25/02/2013 17:36:00,"2,526"
"MAP.MC,26/02/2013 17:36:00,"2,417"
"MAP.MC,27/02/2013 17:36:00,"2,454"
"MAP.MC,28/02/2013 17:36:00,"2,493"
"MAP.MC,1/03/2013 17:36:00,"2,442"
"MAP.MC,4/03/2013 17:36:00,"2,462"
"MAP.MC,5/03/2013 17:36:00,"2,529"
"MAP.MC,6/03/2013 17:36:00,"2,553"
"MAP.MC,7/03/2013 17:36:00,"2,578"
"MAP.MC,8/03/2013 17:36:00,"2,611"
"MAP.MC,11/03/2013 17:36:00,"2,605"
"MAP.MC,12/03/2013 17:36:00,"2,581"
"MAP.MC,13/03/2013 17:36:00,"2,666"
"MAP.MC,14/03/2013 17:36:00,"2,742"
"MAP.MC,15/03/2013 17:36:00,"2,67"
"MAP.MC,18/03/2013 17:36:00,"2,605"
"MAP.MC,19/03/2013 17:36:00,"2,544"
"MAP.MC,20/03/2013 17:36:00,"2,574"
"MAP.MC,21/03/2013 17:36:00,"2,575"
"MAP.MC,22/03/2013 17:36:00,"2,583"
"MAP.MC,25/03/2013 17:36:00,"2,494"
"MAP.MC,26/03/2013 17:36:00,"2,495"
"MAP.MC,27/03/2013 17:36:00,"2,431"
"MAP.MC,28/03/2013 17:36:00,"2,411"
"MAP.MC,2/04/2013 17:36:00,"2,465"
"MAP.MC,3/04/2013 17:36:00,"2,4"
"MAP.MC,4/04/2013 17:36:00,"2,378"
"MAP.MC,5/04/2013 17:36:00,"2,366"
"MAP.MC,8/04/2013 17:36:00,"2,327"
"MAP.MC,9/04/2013 17:36:00,"2,413"
"MAP.MC,10/04/2013 17:36:00,"2,547"
"MAP.MC,11/04/2013 17:36:00,"2,567"
"MAP.MC,12/04/2013 17:36:00,"2,637"
"MAP.MC,15/04/2013 17:36:00,"2,625"
"MAP.MC,16/04/2013 17:36:00,"2,593"
"MAP.MC,17/04/2013 17:36:00,"2,517"
"MAP.MC,18/04/2013 17:36:00,"2,588"
"MAP.MC,19/04/2013 17:36:00,"2,593"
"MAP.MC,22/04/2013 17:36:00,"2,662"
"MAP.MC,23/04/2013 17:36:00,"2,737"
"MAP.MC,24/04/2013 17:36:00,"2,739"
"MAP.MC,25/04/2013 17:36:00,"2,729"
"MAP.MC,26/04/2013 17:36:00,"2,736"
"MAP.MC,29/04/2013 17:36:00,"2,789"
"MAP.MC,30/04/2013 17:36:00,"2,785"
"MAP.MC,2/05/2013 17:36:00,"2,829"
"MAP.MC,3/05/2013 17:36:00,"2,832"
"MAP.MC,6/05/2013 17:36:00,"2,828"
"MAP.MC,7/05/2013 17:36:00,"2,801"
"MAP.MC,8/05/2013 17:36:00,"2,857"
"MAP.MC,9/05/2013 17:36:00,"2,928"
"MAP.MC,10/05/2013 17:36:00,"2,838"
"MAP.MC,13/05/2013 17:36:00,"2,743"
"MAP.MC,14/05/2013 17:36:00,"2,808"
"MAP.MC,15/05/2013 17:36:00,"2,855"
"MAP.MC,16/05/2013 17:36:00,"2,808"
"MAP.MC,17/05/2013 17:36:00,"2,784"
"MAP.MC,20/05/2013 17:36:00,"2,766"
"MAP.MC,21/05/2013 17:36:00,"2,75"
"MAP.MC,22/05/2013 17:36:00,"2,838"
"MAP.MC,23/05/2013 17:36:00,"2,752"
"MAP.MC,24/05/2013 17:36:00,"2,704"
"MAP.MC,27/05/2013 17:36:00,"2,751"
"MAP.MC,28/05/2013 17:36:00,"2,787"
"MAP.MC,29/05/2013 17:36:00,"2,799"
"MAP.MC,30/05/2013 17:36:00,"2,852"
"MAP.MC,31/05/2013 17:36:00,"2,789"
"MAP.MC,3/06/2013 17:36:00,"2,779"
"MAP.MC,4/06/2013 17:36:00,"2,826"
"MAP.MC,5/06/2013 17:36:00,"2,787"
"MAP.MC,6/06/2013 17:36:00,"2,741"
"MAP.MC,7/06/2013 17:36:00,"2,799"
"MAP.MC,10/06/2013 17:36:00,"2,78"
"MAP.MC,11/06/2013 17:36:00,"2,669"
"MAP.MC,12/06/2013 17:36:00,"2,698"
"MAP.MC,13/06/2013 17:36:00,"2,687"
"MAP.MC,14/06/2013 17:36:00,"2,687"
"MAP.MC,17/06/2013 17:36:00,"2,74"
"MAP.MC,18/06/2013 17:36:00,"2,769"
"MAP.MC,19/06/2013 17:36:00,"2,772"
"MAP.MC,20/06/2013 17:36:00,"2,652"
"MAP.MC,21/06/2013 17:36:00,"2,513"
"MAP.MC,24/06/2013 17:36:00,"2,474"
"MAP.MC,25/06/2013 17:36:00,"2,528"
"MAP.MC,26/06/2013 17:36:00,"2,598"
"MAP.MC,27/06/2013 17:36:00,"2,588"
"MAP.MC,28/06/2013 17:36:00,"2,502"
"MAP.MC,1/07/2013 17:36:00,"2,629"
"MAP.MC,2/07/2013 17:36:00,"2,605"
"MAP.MC,3/07/2013 17:36:00,"2,573"
"MAP.MC,4/07/2013 17:36:00,"2,623"
"MAP.MC,5/07/2013 17:36:00,"2,655"
"MAP.MC,8/07/2013 17:36:00,"2,709"
"MAP.MC,9/07/2013 17:36:00,"2,718"
"MAP.MC,10/07/2013 17:36:00,"2,737"
"MAP.MC,11/07/2013 17:36:00,"2,721"
"MAP.MC,12/07/2013 17:36:00,"2,693"
"MAP.MC,15/07/2013 17:36:00,"2,708"
"MAP.MC,16/07/2013 17:36:00,"2,675"
"MAP.MC,17/07/2013 17:36:00,"2,649"
"MAP.MC,18/07/2013 17:36:00,"2,708"
"MAP.MC,19/07/2013 17:36:00,"2,673"
"MAP.MC,22/07/2013 17:36:00,"2,687"
"MAP.MC,23/07/2013 17:36:00,"2,657"
"MAP.MC,24/07/2013 17:36:00,"2,716"
"MAP.MC,25/07/2013 17:36:00,"2,693"
"MAP.MC,26/07/2013 17:36:00,"2,686"
"MAP.MC,29/07/2013 17:36:00,"2,691"
"MAP.MC,30/07/2013 17:36:00,"2,73"
"MAP.MC,31/07/2013 17:36:00,"2,75"
"MAP.MC,1/08/2013 17:36:00,"2,847"
"MAP.MC,2/08/2013 17:36:00,"2,87"
"MAP.MC,5/08/2013 17:36:00,"2,849"
"MAP.MC,6/08/2013 17:36:00,"2,828"
"MAP.MC,7/08/2013 17:36:00,"2,857"
"MAP.MC,8/08/2013 17:36:00,"2,897"
"MAP.MC,9/08/2013 17:36:00,"2,886"
"MAP.MC,12/08/2013 17:36:00,"2,879"
"MAP.MC,13/08/2013 17:36:00,"2,854"
"MAP.MC,14/08/2013 17:36:00,"2,875"
"MAP.MC,15/08/2013 17:36:00,"2,836"
"MAP.MC,16/08/2013 17:36:00,"2,854"
"MAP.MC,19/08/2013 17:36:00,"2,82"
"MAP.MC,20/08/2013 17:36:00,"2,751"
"MAP.MC,21/08/2013 17:36:00,"2,711"
"MAP.MC,22/08/2013 17:36:00,"2,785"
"MAP.MC,23/08/2013 17:36:00,"2,784"
"MAP.MC,26/08/2013 17:36:00,"2,741"
"MAP.MC,27/08/2013 17:36:00,"2,629"
"MAP.MC,28/08/2013 17:36:00,"2,607"
"MAP.MC,29/08/2013 17:36:00,"2,642"
"MAP.MC,30/08/2013 17:36:00,"2,549"
"MAP.MC,2/09/2013 17:36:00,"2,608"
"MAP.MC,3/09/2013 17:36:00,"2,614"
"MAP.MC,4/09/2013 17:36:00,"2,626"
"MAP.MC,5/09/2013 17:36:00,"2,657"
"MAP.MC,6/09/2013 17:36:00,"2,681"
"MAP.MC,9/09/2013 17:36:00,"2,678"
"MAP.MC,10/09/2013 17:36:00,"2,745"
"MAP.MC,11/09/2013 17:36:00,"2,785"
"MAP.MC,12/09/2013 17:36:00,"2,792"
"MAP.MC,13/09/2013 17:36:00,"2,77"
"MAP.MC,16/09/2013 17:36:00,"2,794"
"MAP.MC,17/09/2013 17:36:00,"2,788"
"MAP.MC,18/09/2013 17:36:00,"2,807"
"MAP.MC,19/09/2013 17:36:00,"2,737"
"MAP.MC,20/09/2013 17:36:00,"2,76"
"MAP.MC,23/09/2013 17:36:00,"2,727"
"MAP.MC,24/09/2013 17:36:00,"2,755"
"MAP.MC,25/09/2013 17:36:00,"2,753"
"MAP.MC,26/09/2013 17:36:00,"2,668"
"MAP.MC,27/09/2013 17:36:00,"2,647"
"MAP.MC,30/09/2013 17:36:00,"2,646"
"MAP.MC,1/10/2013 17:36:00,"2,686"
